Chromosome	 Peak-Start	 Peak-End	 Chromosome	 Gene-Start	 Gene-End	 Gene-ID	 Gene-Name	 Distance-of-Gene-to-Nearest-Peak
1	48800	51199	1	394300	410176	ENSRNOG00000046319	Vom2r3	361377
1	53000	53799	1	394300	410176	ENSRNOG00000046319	Vom2r3	357177
1	265600	266999	1	394300	410176	ENSRNOG00000046319	Vom2r3	144577
1	506600	507999	1	394300	410176	ENSRNOG00000046319	Vom2r3	96425
1	669400	672199	1	697013	708565	ENSRNOG00000047964	LOC100909608	24815
1	725200	728399	1	744116	758045	ENSRNOG00000050370	Vom2r6	15718
1	771600	772799	1	744116	758045	ENSRNOG00000050370	Vom2r6	13556
1	950200	951399	1	804362	815917	ENSRNOG00000032365	Vom2r5	134284
1	1113200	1118399	1	1101465	1119326	ENSRNOG00000040300	Raet1l	0
1	1180200	1187599	1	1178532	1221416	ENSRNOG00000061316	AABR07000121.1	0
1	1212800	1214399	1	1178532	1221416	ENSRNOG00000061316	AABR07000121.1	0
1	1238400	1239599	1	1178532	1221416	ENSRNOG00000061316	AABR07000121.1	16985
1	1255200	1256599	1	1178532	1221416	ENSRNOG00000061316	AABR07000121.1	33785
1	1273400	1276199	1	1178532	1221416	ENSRNOG00000061316	AABR07000121.1	51985
1	1367000	1375199	1	1389628	1394729	ENSRNOG00000050129	AABR07000137.1	14430
1	1393200	1395799	1	1389628	1394729	ENSRNOG00000050129	AABR07000137.1	0
1	1398000	1404799	1	1389628	1394729	ENSRNOG00000050129	AABR07000137.1	3272
1	1415400	1416599	1	1389628	1394729	ENSRNOG00000050129	AABR07000137.1	20672
1	1424200	1425999	1	1438599	1444586	ENSRNOG00000040316	AABR07000145.1	12601
1	1451000	1453599	1	1454368	1477246	ENSRNOG00000023659	Raet1d	770
1	1525600	1532999	1	1542734	1546669	ENSRNOG00000029897	AABR07000156.1	9736
1	1533600	1536599	1	1542734	1546669	ENSRNOG00000029897	AABR07000156.1	6136
1	1580000	1581399	1	1542734	1546669	ENSRNOG00000029897	AABR07000156.1	33332
1	1583200	1584599	1	1614985	1620134	ENSRNOG00000042852	LOC679782	30387
1	1668400	1669599	1	1668586	1671761	ENSRNOG00000055877	AABR07000159.5	0
1	1963600	1972399	1	1936019	1973418	ENSRNOG00000016041	Zc3h12d	0
1	1987000	1988599	1	1999096	2076296	ENSRNOG00000016054	Tab2	10498
1	2149000	2150999	1	1999096	2076296	ENSRNOG00000016054	Tab2	72705
1	2159000	2160199	1	1999096	2076296	ENSRNOG00000016054	Tab2	82705
1	2164200	2166199	1	1999096	2076296	ENSRNOG00000016054	Tab2	87905
1	2216200	2219399	1	2333278	2630147	ENSRNOG00000016381	Ust	113880
1	2228800	2231799	1	2333278	2630147	ENSRNOG00000016381	Ust	101480
1	2262600	2264199	1	2333278	2630147	ENSRNOG00000016381	Ust	69080
1	2336600	2340399	1	2333278	2630147	ENSRNOG00000016381	Ust	0
1	2345800	2347399	1	2333278	2630147	ENSRNOG00000016381	Ust	0
1	2348400	2349799	1	2333278	2630147	ENSRNOG00000016381	Ust	0
1	2483000	2486599	1	2333278	2630147	ENSRNOG00000016381	Ust	0
1	2569800	2572599	1	2333278	2630147	ENSRNOG00000016381	Ust	0
1	2671200	2671799	1	2333278	2630147	ENSRNOG00000016381	Ust	41054
1	2823000	2825199	1	2782364	2848600	ENSRNOG00000013160	Sash1	0
1	3107800	3109599	1	2885722	2888753	ENSRNOG00000052788	SNORA36	219048
1	3137000	3137799	1	2885722	2888753	ENSRNOG00000052788	SNORA36	248248
1	3145400	3146399	1	2885722	2888753	ENSRNOG00000052788	SNORA36	256648
1	3325200	3326399	1	3713250	3765792	ENSRNOG00000023549	Samd5	386852
1	4428200	4429599	1	4444527	4563189	ENSRNOG00000042741	Adgb	14929
1	4673800	4675199	1	4636991	4655610	ENSRNOG00000014258	Rab32	18191
1	5186400	5188599	1	5167527	5170516	ENSRNOG00000041566	AABR07000220.1	15885
1	5220200	5221999	1	5237780	5313554	ENSRNOG00000014450	Shprh	15782
1	5792600	5793599	1	5737744	5740773	ENSRNOG00000054906	SNORA17	51828
1	6293400	6296399	1	6278381	6282193	ENSRNOG00000051844	AABR07000248.1	11208
1	6429000	6430399	1	6437655	6440744	ENSRNOG00000053880	SNORA73	7257
1	6967600	6970999	1	6451310	6972440	ENSRNOG00000011058	Utrn	0
1	7033600	7036599	1	7038662	7067270	ENSRNOG00000014902	Stx11	2064
1	7039600	7045399	1	7038662	7067270	ENSRNOG00000014902	Stx11	0
1	7050200	7051399	1	7038662	7067270	ENSRNOG00000014902	Stx11	0
