Chromosome	Gene-Start	Gene-End	Gene-ID	Gene-Name	Peaks-on-Gene-Body	Mean-Distance-of-Gene-to-Nearest-Peaks	sd	Number-of-Peaks-Associated-with-Gene
12	14448510	15101186	ENSRNOG00000001103	Sdk1	32	6290.22222222222	19899.7099291294	36
5	168141047	168736696	ENSRNOG00000018602	Camta1	21	0	0	21
8	127268889	127573488	ENSRNOG00000043167	Itga9	20	0	0	20
13	106749225	107427829	ENSRNOG00000003738	Ush2a	20	0	0	20
10	18557628	18944940	ENSRNOG00000005365	Kcnip1	19	0	0	19
12	51385263	51705130	ENSRNOG00000032590	Ttc28	19	0	0	19
8	52984813	53149353	ENSRNOG00000029980	Zbtb16	17	740.157894736842	2336.91259436125	19
19	50846336	51972603	ENSRNOG00000014371	Cdh13	17	1974.33333333333	8376.38692993584	18
4	66668218	66847305	ENSRNOG00000007918	Tbxas1	16	918.823529411765	3788.40646306752	17
3	5811004	5978644	ENSRNOG00000007422	Vav2	14	0	0	14
19	20144637	20406503	ENSRNOG00000014658	Zfp423	13	19803.65	33367.6426785544	20
19	57817860	58066652	ENSRNOG00000019779	Disc1	13	1779.86666666667	5981.83393840607	15
10	75680893	76042364	ENSRNOG00000025338	Msi2	13	1263.92857142857	4729.18767564035	14
3	120411891	120726836	ENSRNOG00000016179	Acoxl	13	0	0	13
12	49758720	49980258	ENSRNOG00000048430	Myo18b	13	0	0	13
9	13030173	13314324	ENSRNOG00000011453	Kif6	12	10947.6666666667	20203.1745729113	18
16	1746791	1955114	ENSRNOG00000010488	Zmiz1	12	18408.7777777778	37756.6705498053	18
5	78426269	78567788	ENSRNOG00000024501	Rgs3	12	0	0	12
15	32242016	32856930	ENSRNOG00000009074	Trac	12	0	0	12
10	80787768	81296863	ENSRNOG00000002626	Car10	11	142366.315789474	220120.424823689	19
1	127800578	128124671	ENSRNOG00000037080	Adamts17	11	5061.33333333333	8982.90111160934	15
6	106720849	106973650	ENSRNOG00000008086	Dpf3	11	4438.61538461538	10842.2146303116	13
19	42757627	42922744	ENSRNOG00000014452	Zfhx3	11	8204.46153846154	20298.0151394801	13
10	20844399	21267426	ENSRNOG00000027341	Tenm2	11	481.25	1667.09890228504	12
11	69012550	69225558	ENSRNOG00000002215	Mylk	11	1153.58333333333	3996.129888196	12
1	171795116	171969599	ENSRNOG00000019667	Ppfibp2	11	0	0	11
13	44165806	44348135	ENSRNOG00000003769	Tmem163	11	0	0	11
20	4638163	4945964	ENSRNOG00000050183	RT1-CE1	11	0	0	11
13	108695836	108843911	ENSRNOG00000003407	Ptpn14	10	45558.75	72792.9874713217	16
4	6557145	6800132	ENSRNOG00000009085	Prkag2	10	2401.33333333333	5854.41207875554	12
1	94027397	94154468	ENSRNOG00000055070	AABR07003030.2	10	1048.45454545455	3477.33033701535	11
4	113245395	113415004	ENSRNOG00000005853	Tacr1	10	1581.54545454545	5245.39286161935	11
10	36095651	36304909	ENSRNOG00000061484	Adamts2	10	3059.36363636364	10146.7612790755	11
10	36739034	37028867	ENSRNOG00000003349	Col23a1	10	0	0	10
12	48126649	48241287	ENSRNOG00000000658	Acacb	10	0	0	10
14	77827000	78098419	ENSRNOG00000031397	Stk32b	10	0	0	10
15	106431777	106626337	ENSRNOG00000011203	Farp1	9	10063.9285714286	17978.7973177993	14
1	92702580	92777375	ENSRNOG00000013938	Tshz3	9	10412.1666666667	31736.2173315465	12
